"","x"
"1","forward 8"
"2","forward 9"
"3","forward 9"
"4","down 3"
"5","forward 9"
"6","down 1"
"7","down 7"
"8","down 7"
"9","down 4"
"10","down 2"
"11","down 6"
"12","down 6"
"13","down 2"
"14","forward 6"
"15","forward 6"
"16","forward 2"
"17","forward 2"
"18","forward 7"
"19","forward 6"
"20","up 6"
"21","up 8"
"22","forward 5"
"23","forward 4"
"24","down 6"
"25","forward 7"
"26","down 5"
"27","forward 5"
"28","down 8"
"29","down 8"
"30","down 7"
"31","forward 4"
"32","down 2"
"33","forward 7"
"34","up 8"
"35","forward 3"
"36","down 2"
"37","forward 1"
"38","up 3"
"39","forward 3"
"40","up 1"
"41","down 3"
"42","up 7"
"43","up 2"
"44","down 4"
"45","down 2"
"46","forward 9"
"47","forward 3"
"48","down 8"
"49","forward 5"
"50","up 9"
"51","up 4"
"52","forward 9"
"53","down 1"
"54","forward 6"
"55","down 3"
"56","forward 8"
"57","up 2"
"58","forward 3"
"59","up 7"
"60","down 4"
"61","forward 2"
"62","forward 7"
"63","forward 3"
"64","down 1"
"65","down 3"
"66","up 5"
"67","forward 6"
"68","down 5"
"69","down 4"
"70","down 8"
"71","down 2"
"72","up 5"
"73","forward 7"
"74","up 8"
"75","forward 2"
"76","down 5"
"77","forward 3"
"78","up 1"
"79","up 5"
"80","down 8"
"81","down 3"
"82","forward 4"
"83","forward 4"
"84","forward 1"
"85","up 8"
"86","down 9"
"87","forward 7"
"88","forward 9"
"89","down 5"
"90","up 3"
"91","down 9"
"92","up 6"
"93","forward 1"
"94","forward 3"
"95","forward 5"
"96","down 5"
"97","forward 6"
"98","down 3"
"99","down 8"
"100","forward 3"
"101","forward 5"
"102","forward 7"
"103","forward 6"
"104","down 9"
"105","down 5"
"106","down 6"
"107","down 5"
"108","down 1"
"109","down 8"
"110","forward 3"
"111","down 9"
"112","down 5"
"113","down 5"
"114","forward 9"
"115","forward 2"
"116","down 7"
"117","forward 9"
"118","forward 9"
"119","up 1"
"120","forward 3"
